gameId,gameDateTimeEst,teamCity,teamName,teamId,opponentTeamCity,opponentTeamName,opponentTeamId,home,win,teamScore,opponentScore,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,numMinutes,q1Points,q2Points,q3Points,q4Points,benchPoints,biggestLead,biggestScoringRun,leadChanges,pointsFastBreak,pointsFromTurnovers,pointsInThePaint,pointsSecondChance,timesTied,timeoutsRemaining,seasonWins,seasonLosses,coachId,gameType,gameLabel,gameSubLabel,seriesGameNumber,seed,reboundsTeam,turnoversTeam,ot1Points,ot2Points,otAllPoints,gameDate
42500405,2026-06-13 20:30:00+00:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,1,0.0,90,94,18.0,7.0,6.0,86.0,33.0,0.384,37.0,12.0,0.324,19.0,12.0,0.632,33.0,14.0,47.0,22.0,12.0,-4.0,240.0,23.0,19.0,30.0,18.0,32.0,16.0,9.0,5.0,13.0,21.0,38.0,17.0,5.0,0.0,1.0,4.0,,Playoffs,NBA Finals,Game 5,5.0,2.0,12.0,1.0,,,,2026-06-13 20:30:00
42500405,2026-06-13 20:30:00+00:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,0,1.0,94,90,14.0,4.0,8.0,87.0,31.0,0.356,37.0,12.0,0.324,28.0,20.0,0.714,35.0,13.0,48.0,21.0,10.0,4.0,240.0,13.0,24.0,28.0,29.0,9.0,4.0,10.0,5.0,13.0,18.0,30.0,14.0,5.0,0.0,4.0,1.0,,Playoffs,NBA Finals,Game 5,5.0,3.0,18.0,4.0,,,,2026-06-13 20:30:00
42500404,2026-06-10 20:30:00+00:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,1,1.0,107,106,23.0,4.0,6.0,78.0,36.0,0.462,32.0,15.0,0.469,28.0,20.0,0.714,31.0,8.0,39.0,21.0,13.0,1.0,240.0,22.0,27.0,26.0,32.0,12.0,1.0,13.0,3.0,13.0,11.0,34.0,14.0,2.0,0.0,3.0,1.0,,Playoffs,NBA Finals,Game 4,4.0,3.0,14.0,2.0,,,,2026-06-10 20:30:00
42500404,2026-06-10 20:30:00+00:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,0,0.0,106,107,24.0,4.0,10.0,86.0,36.0,0.419,43.0,17.0,0.395,20.0,17.0,0.85,30.0,12.0,42.0,21.0,11.0,-1.0,240.0,41.0,35.0,14.0,16.0,28.0,29.0,10.0,3.0,12.0,25.0,28.0,10.0,2.0,0.0,1.0,3.0,,Playoffs,NBA Finals,Game 4,4.0,2.0,8.0,1.0,,,,2026-06-10 20:30:00
42500403,2026-06-08 20:30:00+00:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,0,1.0,115,111,28.0,7.0,7.0,84.0,39.0,0.464,34.0,12.0,0.353,32.0,25.0,0.781,31.0,6.0,37.0,21.0,8.0,4.0,240.0,33.0,24.0,35.0,23.0,25.0,12.0,7.0,6.0,5.0,21.0,44.0,10.0,4.0,0.0,1.0,2.0,,Playoffs,NBA Finals,Game 3,3.0,2.0,11.0,0.0,,,,2026-06-08 20:30:00
42500403,2026-06-08 20:30:00+00:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,1,0.0,111,115,18.0,6.0,4.0,88.0,40.0,0.455,37.0,13.0,0.351,22.0,18.0,0.818,34.0,12.0,46.0,23.0,13.0,-4.0,240.0,22.0,42.0,27.0,20.0,22.0,7.0,8.0,6.0,15.0,7.0,46.0,21.0,4.0,0.0,2.0,1.0,,Playoffs,NBA Finals,Game 3,3.0,3.0,10.0,0.0,,,,2026-06-08 20:30:00
42500402,2026-06-05 20:30:00+00:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,1,0.0,104,105,22.0,7.0,7.0,78.0,37.0,0.474,29.0,11.0,0.379,27.0,19.0,0.704,37.0,5.0,42.0,20.0,16.0,-1.0,240.0,34.0,18.0,23.0,29.0,19.0,12.0,14.0,5.0,11.0,19.0,48.0,9.0,3.0,0.0,0.0,2.0,,Playoffs,NBA Finals,Game 2,2.0,2.0,11.0,0.0,,,,2026-06-05 20:30:00
42500402,2026-06-05 20:30:00+00:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,0,1.0,105,104,29.0,6.0,11.0,89.0,37.0,0.416,38.0,15.0,0.395,21.0,16.0,0.762,34.0,10.0,44.0,23.0,12.0,1.0,240.0,25.0,31.0,28.0,21.0,27.0,14.0,9.0,5.0,19.0,16.0,38.0,14.0,3.0,0.0,2.0,0.0,,Playoffs,NBA Finals,Game 2,2.0,3.0,10.0,3.0,,,,2026-06-05 20:30:00
42500401,2026-06-03 20:30:00+00:00,San Antonio,Spurs,1610612759,New York,Knicks,1610612752,1,0.0,95,105,16.0,4.0,4.0,89.0,32.0,0.36,43.0,11.0,0.256,25.0,20.0,0.8,40.0,14.0,54.0,23.0,13.0,-10.0,240.0,27.0,28.0,21.0,19.0,20.0,14.0,12.0,10.0,15.0,14.0,42.0,14.0,6.0,0.0,0.0,1.0,,Playoffs,NBA Finals,Game 1,1.0,2.0,6.0,0.0,,,,2026-06-03 20:30:00
42500401,2026-06-03 20:30:00+00:00,New York,Knicks,1610612752,San Antonio,Spurs,1610612759,0,1.0,105,95,20.0,4.0,8.0,94.0,39.0,0.415,36.0,11.0,0.306,18.0,16.0,0.889,39.0,10.0,49.0,23.0,8.0,10.0,240.0,19.0,29.0,28.0,29.0,28.0,10.0,11.0,10.0,12.0,19.0,50.0,23.0,6.0,0.0,1.0,0.0,,Playoffs,NBA Finals,Game 1,1.0,3.0,11.0,1.0,,,,2026-06-03 20:30:00
